trial,score,test_score,time,alpha
0,0,0,1694009587.8793283,0
0,-0.26303492810619056,-0.243796608682185,1694009588.0132582,1
1,-0.029617925986256788,-0.025196695838389127,1694009588.061083,8484.016693089281
2,-0.2631788401336539,-0.24392412678908681,1694009588.1825352,0.02088324833736865
3,-0.14243477179648867,-0.13251160356308578,1694009588.2397258,1630.3889775822063
4,-0.26318241079199023,-0.24392586264814398,1694009588.3606312,2.611958408976979e-05
5,-0.26318273210131626,-0.24392574473597195,1694009588.5211785,0.00011927977174069917
6,-0.26181191284372485,-0.2427394329144792,1694009588.6661117,8.923200306448253
7,-0.26284861252900305,-0.2436428048484398,1694009588.8311207,1.9868890756545559
8,-0.2631597788990734,-0.24390542134674287,1694009588.9621942,0.15419641815754015
9,-0.2631796340455683,-0.24392227359481566,1694009589.1131926,0.022598441689558862
10,-0.26066201189575233,-0.24178515673899947,1694009589.248514,16.795553550553503
11,-0.26314683679206663,-0.24389467620410388,1694009589.4221945,0.24066573471126781
12,-0.23512651944087404,-0.21879633896874817,1694009589.5336232,228.4657292819435
13,-0.26291785101816556,-0.24370290303271758,1694009589.6865525,1.5148307764446318
14,-0.26224448245404886,-0.24311435873191845,1694009589.841276,6.145907255365465
15,-0.25914410397514076,-0.24037409610395,1694009589.9965525,28.415215819850008
16,0.01604630856825906,0.017138856706831573,1694009590.036028,79844.07864256123
17,-0.14463131059031986,-0.13458390789849273,1694009590.1151235,1579.726738965911
18,-0.26316280347460963,-0.2439071095121379,1694009590.294208,0.13552185830330987
19,-0.05210709846767769,-0.04663120935125864,1694009590.3474078,5789.973180660499
20,-0.1383293714625815,-0.12864436755090458,1694009590.4131892,1728.2012929077496
21,-0.26318283487380634,-0.24392422609125597,1694009590.5537438,3.5054605035244894e-05
22,-0.2433792987607888,-0.2263017180747946,1694009590.662704,153.59333331296693
23,-0.1713064100246593,-0.1596625039665187,1694009590.7383368,1051.2490691343892
24,-0.23483437361023762,-0.21852550654180258,1694009590.8532856,231.24185155429015
25,-0.2469335425715682,-0.22951764746872194,1694009590.9890037,123.40066719269676
26,-0.2627633565024803,-0.24356887420889928,1694009591.1534667,2.566661185605072
27,-0.2631813286539497,-0.24392492279563238,1694009591.3038392,0.00017710945384076952
28,0.014212387956748396,0.015957526869915584,1694009591.3428233,37711.425982439854
29,-0.2631665406815855,-0.24391152796654803,1694009591.5086317,0.10778615686437151
30,-0.26318234092484905,-0.24392491403161598,1694009591.6682932,0.001477445954631997
31,-0.24392365049063813,-0.22679624533623044,1694009591.7791598,148.85329909571075
32,0.01580989260000676,0.01684364367998492,1694009591.8199334,87513.36517786376
33,-0.26318087648777433,-0.24392483610885995,1694009591.9785292,0.0035986578405393984
34,-0.2559961701530311,-0.23759531092037212,1694009592.1020162,51.652853594691635
35,-0.2616912021507922,-0.2426329007791519,1694009592.250961,9.773702858066141
36,-0.2439011804564737,-0.22677626198172218,1694009592.3480952,149.04638792452553
37,0.007659621017135021,0.010011831722397946,1694009592.3890412,23631.720771638655
38,-0.2631780158756447,-0.24392071735234144,1694009592.543612,0.03296838592788979
39,-0.26318188235566575,-0.24392482983423025,1694009592.653609,0.003438277891628906
40,-0.26316807697188316,-0.2439111681560291,1694009592.7637422,0.10585834267536794
41,-0.22862314696179764,-0.21283925178970553,1694009592.833296,291.8147043024692
42,-0.24106319204076554,-0.22419339490087942,1694009592.910616,174.06268326825844
43,-0.26316399754113173,-0.24391162580092773,1694009593.0255146,0.1151006988675914
44,0.016087337292721604,0.01719279930359796,1694009593.0485568,78306.62075108591
45,-0.26313542871304185,-0.24388401904653212,1694009593.156009,0.3198842131774002
46,-0.26317489483779544,-0.24391817991140563,1694009593.263506,0.05471222049884879
47,-0.24679937137674424,-0.22937318016392694,1694009593.3406143,124.8205413202185
48,-0.26317924856298336,-0.24392497414440095,1694009593.4480417,6.677063909733603e-05
49,-0.2631678097183894,-0.2439137329659682,1694009593.555933,0.09632281985987107
50,-0.20867455845922445,-0.194443637188771,1694009593.6157827,511.45763143330004
51,-0.2144305845334049,-0.19974480559768204,1694009593.6770036,444.12971898451826
52,-0.2631817827543137,-0.2439240638758262,1694009593.7842393,0.006895945739139862
53,-0.2631822529753485,-0.2439253359403215,1694009593.8917284,0.0007859988374814072
54,-0.263106637512301,-0.24385838191314702,1694009594.0022788,0.5158336235965755
55,-0.2631789243703804,-0.243922440757961,1694009594.114353,0.02228745324049671
56,-0.23576154029973462,-0.2193671462290383,1694009594.203341,222.5104628584422
57,-0.2631814654141609,-0.24392639112921088,1694009594.3114905,0.000778164035960398
58,-0.26317943556547996,-0.24392262507161444,1694009594.4191387,0.020466366229155666
59,-0.10404896953497134,-0.09612112445333265,1694009594.4616284,2768.7529623310556
60,-0.2610675027153828,-0.2420887710604076,1694009594.5672522,14.13319474392534
61,-0.03939384938828705,-0.034524650588862116,1694009594.602943,7122.63676984697
62,0.016232832705652234,0.017556500856862,1694009594.6313992,58281.43066398056
63,-0.11648638233119879,-0.10792230735790631,1694009594.6783242,2339.3000444398217
64,-0.2631828287137401,-0.24392504375033464,1694009594.7882433,0.0006430522481060931
65,-0.2608765443471419,-0.24197376625372757,1694009594.889381,15.279357221744714
66,-0.2630978303357965,-0.24385076558253926,1694009594.998924,0.576884317280702
67,-0.26316542338333493,-0.24391174821922945,1694009595.1081078,0.11004404523203563
68,-0.2316029002621931,-0.21556984296155313,1694009595.1807275,262.3233050826762
69,-0.1347892669763573,-0.125288401157722,1694009595.2296302,1816.9078097913825
70,-0.2538525512807257,-0.2356996447085533,1694009595.3256645,67.96703190789977
71,-0.26318224053324646,-0.2439252410909618,1694009595.4642518,0.00024701086408306154
72,-0.2489299943583867,-0.2313306903667054,1694009595.5624158,106.72116905411416
73,-0.2631818125985146,-0.24392552429609737,1694009595.729934,3.875903017540471e-05
74,-0.26318233312774564,-0.24392500586554244,1694009595.8679254,0.0008446071381348896
75,0.0005878758800250683,0.0034279454662095032,1694009595.9071567,17698.54846950465
76,-0.26316520482995753,-0.24391199771172434,1694009596.0455117,0.11246686091745953
77,-0.2631819580021162,-0.24392601100313716,1694009596.197323,0.0003040292204948299
78,-0.2540384273998557,-0.2358650350179261,1694009596.316901,66.507604689688
79,-0.2631825339993812,-0.24392501607673123,1694009596.4334557,0.00043140731784301127
80,-0.25884114346688536,-0.24011989669467781,1694009596.5362687,30.356549852627104
81,-0.2631813073835605,-0.24392471945751026,1694009596.6484764,0.0032820215754536136
82,-0.26318277114143873,-0.24392498019061026,1694009596.7572777,2.5927163894102453e-05
83,0.014419250298446706,0.01613680295025466,1694009596.7844274,38656.80914719307
84,-0.2631816423611555,-0.2439257412147331,1694009596.913455,4.594146162512277e-05
85,-0.2629416279424355,-0.24372451493622793,1694009597.0490732,1.3471062803177143
86,-0.2631776729968678,-0.24392191178966272,1694009597.1889868,0.02588009774133412
87,-0.25756015903450025,-0.23900268448969775,1694009597.303311,39.81971858587431
88,-0.10371056388833066,-0.0957998309750312,1694009597.3474238,2781.4635380512686
89,-0.2615222318168673,-0.24248768834897927,1694009597.4543839,10.931142782007846
90,-0.2620541769649567,-0.24294973480769455,1694009597.5610545,7.449667849644015
91,-0.2631818705822473,-0.243925752432256,1694009597.670739,0.00014802339314928177
92,-0.24648157129176118,-0.22910952941772322,1694009597.7469852,127.20475751592495
