trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1693505340.323360,0,0,0,0,0,0,0,0,0
0,0.6869918257175568,0.6967264996480997,1693505340.433604,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.5,0.5,1693505340.5323014,10,38996.76817062786,0.93459727010696,0.0045110584860376494,0.6163641639886454,0.5056994021387149,0.00020169177263162493,0.00010556345609688222,0.0016855696914008188
2,0.6329889682811973,0.6465274804288861,1693505340.6367953,6,0.16581894958588836,0.7716930087712701,0.06374966075626659,0.8561872870410456,0.8098410480517197,0.00018235501218044772,7.775893077365152e-06,54.77121965793856
3,0.6870001239004551,0.6967200994545931,1693505340.7430518,4,6.98897988703001e-06,0.5329041938936057,0.8210181022181542,0.5639278564625159,0.6610653966020896,5.1218687759726045e-08,1.7688841467551718e-06,8.636726151249813e-05
4,0.6872556507048734,0.6961381232381536,1693505340.8484983,10,0.00030974261172866854,0.9923747186426357,1.3920673413800773e-05,0.67584236813506,0.6904794446019265,0.43812830727669533,24.43650733569207,1.5736131084540683e-05
5,0.6877206350914131,0.696519139684097,1693505340.9581106,5,3.250084411696814e-05,0.9005279431631972,0.015530807279674305,0.5343450667290786,0.8018222381845557,0.9031202583964879,2.089688555577595e-08,0.00035849097026931145
6,0.5,0.5,1693505341.0605114,9,71081.19745983473,0.7919822717504834,1.5651699031723056e-05,0.7232114537589514,0.5940862576466571,0.018644745882786685,1.422911845214654e-06,3.233710051425487e-07
7,0.6869325938603176,0.6967476234394759,1693505341.1683607,6,2.018498006911676e-07,0.8655792159903314,0.4991777247576652,0.9716590922316009,0.6873692525088881,0.009067810982730809,0.04167034755529183,0.0012758644966462205
8,0.6873213208074647,0.6961411656946725,1693505341.273261,6,1.3041865366851323e-08,0.5339482017826847,0.00149307334362676,0.7157468154401804,0.5929418427598855,0.0019817696223345185,0.009791799889169017,0.16189918662313046
9,0.6872836928401848,0.6961554006078166,1693505341.3806086,4,0.0018077611216717779,0.9113912102487632,0.00862286836259281,0.8532577717027281,0.7552911233410913,1.9980971940900891,0.16098303646309498,4.598506755381655
10,0.6873997243286413,0.696403006123598,1693505341.5204995,1,5.593351979131434e-06,0.6529544681136045,0.0003998031967510032,0.525322130410742,0.8502618741337828,50.07564117587828,1.0645483767347218e-08,0.3899978934395128
11,0.6864042285250895,0.695158515295091,1693505341.662788,1,6.926832908385471e-06,0.6624383784876775,0.0005275101103374242,0.5031242892353917,0.8393900392125123,99.89136892490082,1.8948590844483836e-08,0.2057940714981932
12,0.6873997243286413,0.696403006123598,1693505341.805121,1,7.418655928764371e-06,0.6648357251769094,0.00030227401094513195,0.5052989941400127,0.88359250070535,19.00190006480204,1.4044539633039063e-08,0.05706418238772086
13,0.6873635270825506,0.696135065017611,1693505341.9483511,3,1.0558570083060363e-08,0.8509790891459593,0.020734159881122653,0.6054853088595825,0.908640501872894,91.49602297960455,1.33527699783134e-08,0.026843524900608588
14,0.6786578747895766,0.6904075381542175,1693505342.0897634,3,0.0009086654064348121,0.7011600992270128,0.030676637830145383,0.5761453140388402,0.7847571685543988,3.31012715406995,3.5991296213464854e-07,13.520554855930442
15,0.6872854097056119,0.6961485274936077,1693505342.2376974,8,1.114538318355469e-06,0.605713452751963,0.0015804626896815893,0.6319725061725031,0.8598509890008255,0.41228524667655747,0.00012142120276720692,1.3958515521563788
16,0.6877611245010716,0.6965120301095369,1693505342.3913171,8,4.037891161637271e-05,0.752549442018024,0.00023944068716402707,0.5500261108533526,0.9332113481003739,10.624870378150494,1.2463430190217872e-07,0.014526616431244465
