trial,score,test_score,time,alpha
0,0,0,1694011660.5727766,0
0,-0.05769942978402853,-0.12168063753445302,1694011660.6823385,1
1,-0.057750052862032275,-0.12176464735597636,1694011660.789986,0.2290598760735556
2,-0.05777936981298448,-0.12175813491990994,1694011660.9023864,1.816612583919038e-05
3,-0.05756442567304587,-0.12142823134454006,1694011661.0117269,3.1377965328267496
4,-0.05775956352746814,-0.12173104293886228,1694011661.1229382,0.22554018180814286
5,-0.057768001057623586,-0.12173907639191484,1694011661.2338674,0.15983725808418597
6,-0.05777526404074873,-0.12175667359178877,1694011661.3473823,0.020107043155140784
7,-0.05777722168367716,-0.12175636675290247,1694011661.46523,0.0011129773863956798
8,-0.05675480606196781,-0.12018611476187568,1694011661.5594842,15.585102522223588
9,-0.05780105768618915,-0.1217642372632739,1694011661.6839159,0.009920800965244343
10,-0.022151615948035053,-0.06131268142595392,1694011661.7424836,864.9841415850487
11,-0.01295821858421875,-0.04543631144946447,1694011661.7978234,1209.5264186191332
12,0.0074292783047018585,-0.009857560108390118,1694011661.847072,2309.2075008088373
13,0.042017639786588123,0.06527418300128551,1694011661.8781507,51590.129701047874
14,0.0453736536837861,0.06956499867333577,1694011661.9111934,40044.48027066884
15,0.03282197155012789,0.05233051885724027,1694011661.940422,93290.75438495196
16,0.038851111772824964,0.06095136214559549,1694011661.969404,63833.145511020084
17,-0.053046383524723684,-0.11402767288405014,1694011662.06442,80.72767790239195
18,0.04931827248107801,0.06927779517162191,1694011662.1019566,13585.381535549885
19,-0.05057332451185337,-0.10974746234325017,1694011662.1861136,128.16507679859905
20,0.03385751771861267,0.03792451871156732,1694011662.2323518,5476.748492793046
21,0.048505968852125214,0.06724365238870555,1694011662.269506,12290.105872394535
22,0.04335748304254927,0.05625410984780155,1694011662.310436,8422.511578538095
23,0.049443610824375206,0.0696124984633113,1694011662.3471088,13839.156521666904
24,-0.04657174091302574,-0.10301301139173513,1694011662.4228616,208.84025110056095
25,0.04418072052340338,0.05792448069833289,1694011662.4637785,8834.265691113531
26,-0.014994323957370659,-0.0489603967374892,1694011662.5190146,1127.0738460887744
27,0.04960016098387632,0.070042687329257,1694011662.5551975,14188.090021645039
28,-0.047385228623541,-0.10436164787019253,1694011662.6354623,192.28438497923037
29,-0.05619253573355554,-0.11924591772092952,1694011662.7359223,25.0505284266096
30,0.05042680069744809,0.07331570370237461,1694011662.7711287,18777.66151297512
31,0.050423854655787026,0.0734211442130297,1694011662.8071573,19090.789872463687
32,0.01866594648884834,0.010139854885345523,1694011662.8520184,3262.7431375252286
33,0.05018574015928179,0.07393491859830814,1694011662.8856032,21879.75002209717
34,-0.03364683207124464,-0.08098628896336835,1694011662.9514704,517.4318145401777
35,0.03360887654600586,0.053479878357433175,1694011662.9794521,88835.23120924016
36,0.009321781735010415,-0.006513070577959468,1694011663.0279233,2446.123362950446
37,0.04888392632059879,0.07333969944767771,1694011663.0603871,28017.08117911355
38,0.050276175501860476,0.07386587198498251,1694011663.094058,21154.03753956027
39,0.009813906412402651,-0.005620457044137828,1694011663.140691,2485.153689623963
40,-0.03748573703451075,-0.0875423720925621,1694011663.204229,417.7005155285144
41,0.04755811718109337,0.07206971201030088,1694011663.2363896,32759.160384540406
42,0.05034140982916813,0.07376582706578139,1694011663.2706516,20490.05560459976
43,0.02683464064131036,0.024901977681012766,1694011663.3131373,4251.5365412847095
44,0.0504225764009677,0.07344138554687274,1694011663.3484685,19154.979945565843
45,-0.01705279125628323,-0.0525447410716513,1694011663.4041128,1047.0660221202468
46,0.03264378088979858,0.05206938527728611,1694011663.4354472,94330.7591409729
47,0.027226046250188873,0.025617443792151584,1694011663.4810581,4308.459013198374
48,-0.057573234522725114,-0.1214785672294667,1694011663.6098425,2.90112722907976
49,0.048849825356385934,0.07331143792383543,1694011663.6422002,28147.75542474456
50,-0.011968841940884989,-0.04371384333409223,1694011663.696611,1250.7411527006063
