trial,score,test_score,time,num_layers, layer_size, hidden_factor, hidden_dropout, residual_dropout, learning_rate, weight_decay, category_embedding_size
0,0,0,1694919245.9350080,0,0,0,0,0,0,0
0,0.8050020015789439,0.8030720518966783,1694920243.560676,5,8,3,0.4,0.4,0.0001,0.0001,64
1,0.7990975583026039,0.8007382828142098,1694921265.0188463,7,14,1.0003431244520347,0.15116628631591988,0.0,1.8924123965722247e-05,3.6206007257447394e-06,219
2,0.8001837618295605,0.8007619761414028,1694921377.7246246,7,12,2.2575835432098845,0.34260975019837975,0.1,0.00430876004783913,1.208266625330546e-06,365
3,0.8003839197239511,0.7988975808561195,1694921474.7620173,7,13,1.4211608157857012,0.0990507445424394,0.4,0.008031279258119075,8.715103205978139e-06,374
4,0.7858124536267495,0.785643205732707,1694921676.2456534,10,16,1.2551326341093336,0.01952739161644118,0.1,0.004309506204261083,1.972606689184096e-06,253
5,0.7952700929768473,0.8012814007129312,1694921790.289185,10,12,3.07563134185142,0.15775781550303147,0.4,0.003190634197513422,1.1346576147006603e-06,400
6,0.8035134792535412,0.803014087582581,1694922084.9808955,10,14,1.8413319761932154,0.39463966422574426,0.0,0.00022063813533788863,0.000531846749477338,195
7,0.8038401129010705,0.802977057891579,1694923097.9281855,6,9,1.0581008736108912,0.3394177664699455,0.1,6.260946289186234e-05,2.9834549048893877e-05,87
8,0.8018464029237073,0.8010004858156736,1694923651.9949424,8,9,2.767916610709853,0.3498791800104656,0.0,0.00017464974804939153,0.0001211157082591752,249
9,0.8048213014927287,0.8045739376995074,1694923901.3972392,5,12,2.9913839356593663,0.2574445560291543,0.5,0.0005749963945531065,0.0005131044082788641,125
10,0.8042874994169811,0.8003516228478836,1694924540.1764522,5,15,2.193030510956601,0.08267709855846639,0.5,0.00011048353954862783,0.00017882832527607158,389
11,0.7947297095836288,0.7993652994308462,1694924698.4577217,10,13,3.2528273020820118,0.17444917098892126,0.1,0.004871454545414108,1.924303499305707e-05,497
12,0.8040648791999178,0.8027501190104949,1694924955.7118754,8,13,1.3442379188601254,0.4747446293535356,0.2,0.0005434615751061225,1.6765264451568485e-05,170
13,0.8065632045407658,0.8056664160502224,1694925184.5343897,10,13,1.008610981093477,0.30857245681036194,0.1,0.0003812187972121696,0.00045480611778795765,224
14,0.7995154719620138,0.8021585267397721,1694925301.5906475,10,13,1.0474637285396688,0.46471861687188065,0.4,0.009816768541009779,3.288679302279304e-06,125
15,0.7977953158760549,0.8008034039949378,1694925510.0463817,10,14,1.1980005181661875,0.3777315263012332,0.4,0.0058758893192464206,0.00013632461375504072,119
16,0.8025996776299016,0.8012466568053241,1694925704.0797656,5,8,1.0849194640623838,0.12310553380152295,0.5,0.000413516832983145,4.5547645941084986e-05,442
17,0.7844991946470425,0.7903551826796513,1694926703.883985,5,10,2.7572778143748637,0.48479787415983727,0.30000000000000004,1.1374750205031965e-05,0.0002522888272902663,168
18,0.8009686554740394,0.8013840087413402,1694927721.8823006,9,11,3.590625563678286,0.3735608213685923,0.30000000000000004,2.5666442474722136e-05,1.5127009113209096e-06,118
19,0.7610250659490932,0.7748669823822221,1694928715.4090898,5,8,1.677128015823564,0.35649449019133833,0.30000000000000004,1.0906061452397865e-05,1.6440795942829676e-06,498
20,0.8016721410828441,0.8014392774074337,1694928967.3418367,8,9,1.7569772337109701,0.37191292703754647,0.1,0.000554723777607564,0.0008129427593316354,444
21,0.77940940401592,0.7772311917939051,1694929969.7045686,6,12,2.8598671551441393,0.41449044977508936,0.0,1.1369165971575194e-05,1.62205819390916e-06,282
22,0.8005172629387985,0.8018612960782798,1694930297.343223,8,13,1.9520872279664823,0.49430807720622444,0.30000000000000004,0.00013817310525009955,4.496190020585654e-05,398
23,0.801104717059147,0.8043138943692516,1694931305.2082033,9,10,1.1990045032853247,0.18504209895705315,0.30000000000000004,4.270925833168976e-05,0.0001812452615321984,93
24,0.7984448632960212,0.7900961797749407,1694931489.2130663,6,15,1.5803028478699832,0.31973044043997007,0.30000000000000004,0.00594872525402241,6.164392898567231e-06,93
25,0.8029064242528989,0.8046186287058894,1694932094.5415459,9,14,3.723447557510572,0.46598603459841864,0.0,5.047615419441571e-05,7.084921962013147e-05,490
26,0.8020067867690337,0.7996316010783979,1694932621.4687412,10,13,3.7468190492988236,0.32078310447316877,0.2,0.00028705955104584257,6.500270786794111e-05,310
27,0.8024165453176644,0.8019316193867347,1694933629.2240446,10,16,2.1846268387706647,0.4816312642203559,0.1,2.3932527042689768e-05,2.5423625005819615e-06,291
28,0.7982222430789578,0.7968771847951203,1694934233.2663882,5,16,3.481346413512197,0.007509490371061189,0.1,9.912671704119339e-05,2.4716702736980975e-06,427
29,0.8004063820466237,0.7988669828866708,1694934482.4740963,7,16,2.7460425398412402,0.43941599220592203,0.5,0.005202079154728394,2.3968496779361037e-05,309
30,0.7989039817256844,0.8011266137670179,1694934763.3453872,9,10,2.470760567859783,0.2995551538229392,0.0,0.0006031762384586438,1.9999956311000528e-05,426
31,0.7986191251368843,0.7963816584830892,1694934932.2027428,6,16,2.7335716458536066,0.09200510081373253,0.4,0.0006856358714236165,1.4512018261546824e-06,252
32,0.8030901288536116,0.8024504922174435,1694935052.3384995,9,16,1.0012060746740723,0.4883795745155298,0.2,0.008343545047409792,6.518509501856641e-05,436
33,0.8007716451662656,0.8049013564658396,1694935177.5138202,8,13,1.8567288450870818,0.2934166703280415,0.4,0.0037578678997407873,0.00018418173740756327,377
34,0.8035729972550183,0.8031970921304071,1694935456.0529866,10,10,3.0123663723627616,0.22543696820667458,0.2,0.00017077883624164538,1.6011748148991577e-05,206
35,0.8030928472238714,0.8029562020886007,1694935778.0560248,8,11,3.921406233781757,0.33890044571715555,0.1,0.00019059128056295475,1.0716148403033203e-05,422
36,0.799276398451273,0.8026595231679281,1694935899.275449,10,16,2.9881594371257867,0.1351041310148789,0.1,0.003670234625477635,3.8295164457230317e-05,424
37,0.8064641986344625,0.7962103035485668,1694936514.7468038,8,14,2.5570348823921676,0.385441955250944,0.30000000000000004,0.00024953394681421115,1.0667600028367189e-05,94
38,0.800522842751437,0.7962011446509626,1694936688.0777323,7,8,3.948451341191335,0.09080642566538188,0.4,0.0042158479089575256,0.00011620899816435576,319
39,0.8017990460523399,0.8021898183262511,1694937121.0318217,5,12,2.035516153465645,0.1125199789070423,0.30000000000000004,8.645886164114417e-05,0.0005609403232139285,472
