trial,score,test_score,time,max_depth,min_child_weight,subsample,eta,colsample_bylevel,colsample_bytree,gamma,lambda,alpha
0,0,0,1694054261.2238170,0,0,0,0,0,0,0,0,0
0,0.8932140124534474,0.9046176181663117,1694054262.8147976,6,1,1,0.3,1,1,1e-20,1,1e-20
1,0.5,0.5,1694054263.8714228,3,2086.988136421775,0.6033595776697132,0.3917910760336115,0.7442055943974146,0.8058719314513229,0.45611942146988727,0.0015281988858822622,9.2897711567843e-06
2,0.8579922303338252,0.8707947319416784,1694054264.908236,3,1.1210797137053725e-07,0.869220148099485,0.0016089632125771368,0.5791549338563255,0.9399685156006394,5.506360231037675e-06,0.00013878744822572872,9.136909584964169e-06
3,0.8784050625420081,0.8936091552057861,1694054266.1936646,7,0.34505754847262476,0.7999645983124938,0.00021335144453597365,0.642342940320682,0.6267941028868937,1.8864247114746056e-05,2.764668132257356e-07,4.5303172090094196e-07
4,0.5,0.5,1694054267.3174548,11,30405.16039113432,0.5942073277979676,1.3229176421318452e-05,0.6022777731899753,0.8499218070632788,0.6239443487805697,1.6956293466279647e-08,0.005979000383792686
5,0.8654093447356073,0.8799301869652922,1694054268.3622384,1,0.050250912766948756,0.8198975880654286,0.8474654741446043,0.6295487982055529,0.9012484426314351,5.067933061888993,16.884808501263386,1.0523061906303107e-08
6,0.5,0.5,1694054269.4333935,6,57424.01955442252,0.6994724019514252,0.11712844778172378,0.7732282489862389,0.8854270435701123,0.0007068231251400772,1.9548598941356206e-08,7.332581251077417e-08
7,0.847751489045109,0.8622990867214994,1694054270.6193547,2,1.8458076941044073e-05,0.9824576462631824,0.014415518363921877,0.908330101307681,0.7830409980463782,0.022571584951327973,1.3152972491020911,18.48528507106305
8,0.6886835953517274,0.6923068920107264,1694054271.7953956,11,527.8850536324669,0.5471013660886613,0.0006386193778016206,0.5177545158801651,0.7731791742704035,0.9150128825054364,3.246594368635332e-08,7.703309692219131e-07
9,0.8665671856307675,0.8802710837272498,1694054273.0572143,5,1.4989297193113521e-05,0.897543736460516,0.0005760692303571454,0.8194388410301827,0.7467075259483799,0.006839076114870911,24.716872633093757,27.25215310373715
10,0.8790544510718166,0.8900400786170947,1694054274.781037,8,5.989892034053076,0.9923274429830898,0.025796000231077955,0.993585754266157,0.997025824255192,1.2656733563285944e-08,0.25553931944370634,1.3033256760495162e-08
11,0.8837766157566125,0.8927897913416458,1694054276.6696603,8,4.073799184506977,0.9725874698712382,0.03792979013116826,0.9872737052930274,0.9950555891461863,1.703590418008581e-08,0.13449732847208756,0.000541644637416733
12,0.8887068451688994,0.901048164092414,1694054279.1768355,9,15.989506628888494,0.9376140323844725,0.09674018910359157,0.993404627099312,0.9991588294030179,3.0261372545025407e-07,0.05851486561889203,0.001104387024954073
13,0.8904519341734267,0.9017843338999171,1694054281.7145145,9,46.157322145494895,0.9042960592173579,0.18976054316473795,0.9119325735260222,0.9982152095876624,1.777911793748983e-07,0.020975614539947906,0.0027815662150862336
14,0.8744459145843989,0.8913436731380275,1694054283.3938131,5,0.01586194139249533,0.9046126187810062,0.8878202775495878,0.9017611507192167,0.9308607608248427,46.08552893891942,0.007557781523256102,0.04589327550209968
15,0.8670062267237626,0.8788018100286735,1694054284.9096346,9,133.4532672885864,0.8650270407066243,0.013137174274300273,0.9100855096479123,0.9307703957060937,2.542000928815754e-07,2.743151205294667,4.1239688165406607e-05
16,0.8853790777008889,0.8985799724689912,1694054286.2354012,5,0.009342104903106743,0.9952961990566372,0.19890821980550877,0.865479194363753,0.8503766033956607,0.00012039153537008773,55.83588797594277,3.1730213252026756e-07
17,0.8823675922912061,0.8978239616707783,1694054288.385788,10,0.41934794422188265,0.9106126845596949,0.2043130391901674,0.944853411308847,0.5586715272861694,2.123233145201591e-07,0.0002077064788749693,1.3260666313180344e-08
18,0.8696732766601427,0.8822807873435434,1694054290.2595754,7,104.08475465957538,0.7440023039795326,0.0465496031416562,0.847360255293286,0.9568239032128867,4.403548555489303e-06,0.013478393466184683,0.1670173767689991
